Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K11,0,-0.195155,-100,1.29238546992059+0i,-0.336434884960292+0.997057024433548i,-0.336434884960292-0.997057024433548i,1.29238546992059,NO
2,K11,0.00196135678391963,-0.19319364321608,-98.9949748743718,1.28914048850682+0i,-0.334910462092608+0.993248612709316i,-0.334910462092608-0.993248612709316i,1.28914048850682,NO
3,K11,0.00392271356783921,-0.191232286432161,-97.9899497487437,1.28587293569766+0i,-0.333374753527222+0.989414722666399i,-0.333374753527222-0.989414722666399i,1.28587293569766,NO
4,K11,0.0058840703517588,-0.189270929648241,-96.9849246231156,1.2825824277701+0i,-0.331827567402644+0.98555490769165i,-0.331827567402644-0.98555490769165i,1.2825824277701,NO
5,K11,0.00784542713567843,-0.187309572864322,-95.9798994974874,1.27926857049218+0i,-0.330268706602873+0.981668708478293i,-0.330268706602873-0.981668708478293i,1.27926857049218,NO
6,K11,0.00980678391959801,-0.185348216080402,-94.9748743718593,1.27593095872282+0i,-0.328697968557387+0.977755652524368i,-0.328697968557387-0.977755652524368i,1.27593095872282,NO
7,K11,0.0117681407035176,-0.183386859296482,-93.9698492462311,1.27256917599292+0i,-0.327115145031635+0.973815253605947i,-0.327115145031635-0.973815253605947i,1.27256917599292,NO
8,K11,0.0137294974874372,-0.181425502512563,-92.964824120603,1.2691827940652+0i,-0.325520021906972+0.96984701122316i,-0.325520021906972-0.96984701122316i,1.2691827940652,NO
9,K11,0.0156908542713568,-0.179464145728643,-91.9597989949749,1.26577137247218+0i,-0.323912378949656+0.965850410017538i,-0.323912378949656-0.965850410017538i,1.26577137247218,NO
10,K11,0.0176522110552764,-0.177502788944724,-90.9547738693467,1.26233445803091+0i,-0.322291989568218+0.9618249191586i,-0.322291989568218-0.9618249191586i,1.26233445803091,NO
11,K11,0.019613567839196,-0.175541432160804,-89.9497487437186,1.2588715843328+0i,-0.320658620558359+0.95776999169808i,-0.320658620558359-0.95776999169808i,1.2588715843328,NO
12,K11,0.0215749246231156,-0.173580075376884,-88.9447236180904,1.25538227120724+0i,-0.319012031834772+0.953685063889365i,-0.319012031834772-0.953685063889365i,1.25538227120724,NO
13,K11,0.0235362814070352,-0.171618718592965,-87.9396984924623,1.25186602415698+0i,-0.31735197614884+0.949569554469913i,-0.31735197614884-0.949569554469913i,1.25186602415698,NO
14,K11,0.0254976381909548,-0.169657361809045,-86.9346733668342,1.24832233376396+0i,-0.315678198791525+0.945422863904332i,-0.315678198791525-0.945422863904332i,1.24832233376396,NO
15,K11,0.0274589949748744,-0.167696005025126,-85.929648241206,1.24475067506325+0i,-0.313990437280368+0.941244373585258i,-0.313990437280368-0.941244373585258i,1.24475067506325,NO
16,K11,0.029420351758794,-0.165734648241206,-84.9246231155779,1.24115050688311+0i,-0.312288421029499+0.93703344498927i,-0.312288421029499-0.93703344498927i,1.24115050688311,NO
17,K11,0.0313817085427136,-0.163773291457286,-83.9195979899497,1.23752127114907+0i,-0.310571871001669+0.932789418784789i,-0.310571871001669-0.932789418784789i,1.23752127114907,NO
