Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K11,0.185155,-0.01,-5.12413210012555,0.6910635753,-0.04503168765+0.2508093799i,-0.04503168765-0.2508093799i,0.691063575292078,YES
2,K11,0.175155,-0.02,-10.2482642002511,0.779382009,-0.08869090449+0.3817963091i,-0.08869090449-0.3817963091i,0.779382008978021,YES
3,K11,0.165155,-0.03,-15.3723963003766,0.8433328641,-0.120166332+0.4651015177i,-0.120166332-0.4651015177i,0.843332864091806,YES
4,K11,0.155155,-0.04,-20.4965284005022,0.8949158113,-0.1454578057+0.5291111131i,-0.1454578057-0.5291111131i,0.894915811318608,YES
5,K11,0.145155,-0.05,-25.6206605006277,0.9387717179,-0.1668857589+0.5821929193i,-0.1668857589-0.5821929193i,0.93877171786196,YES
6,K11,0.135155,-0.06,-30.7447926007532,0.9772535022,-0.1856266511+0.6280988413i,-0.1856266511-0.6280988413i,0.977253502197812,YES
7,K11,0.125155,-0.07,-35.8689247008788,1.011740484,-0.202370142+0.6688706171i,-0.202370142-0.6688706171i,1.01174048397658,NO
8,K11,0.195155,0,0,0.5000392469,0.2999432651,-0.1999823119,0.500039246869543,YES
9,K11,0.205155,0.01,5.12413210012555,0.4722205619+0.2838393553i,0.4722205619-0.2838393553i,-0.3454409238,0.550960106229744,YES
10,K11,0.215155,0.02,10.2482642002511,0.5163340632+0.3832527168i,0.5163340632-0.3832527168i,-0.4346679263,0.643026834385467,YES
11,K11,0.225155,0.03,15.3723963003766,0.5501783051+0.4506645702i,0.5501783051-0.4506645702i,-0.5033564101,0.711192464937212,YES
12,K11,0.235155,0.04,20.4965284005022,0.5783136117+0.5032100807i,0.5783136117-0.5032100807i,-0.5606270234,0.766594429150751,YES
13,K11,0.245155,0.05,25.6206605006277,0.6027149023+0.5469028242i,0.6027149023-0.5469028242i,-0.6104296046,0.813859909695336,YES
14,K11,0.255155,0.06,30.7447926007533,0.6244432541+0.5846320066i,0.6244432541-0.5846320066i,-0.6548863083,0.855408651305821,YES
15,K11,0.265155,0.07,35.8689247008788,0.6441438995+0.6180306025i,0.6441438995-0.6180306025i,-0.6952875991,0.89268314028713,YES
16,K11,0.275155,0.08,40.9930568010043,0.6622425245+0.6481204366i,0.6622425245-0.6481204366i,-0.732484849,0.926620343832385,YES
17,K11,0.285155,0.09,46.1171889011299,0.6790367669+0.6755874962i,0.6790367669-0.6755874962i,-0.7670733337,0.957867107588069,YES
18,K11,0.295155,0.1,51.2413210012554,0.6947440114+0.7009167483i,0.6947440114-0.7009167483i,-0.7994878229,0.986890839687961,YES
19,K11,0.305155,0.11,56.365453101381,0.7095285219+0.7244649301i,0.7095285219-0.7244649301i,-0.8300568438,1.0140414973415,NO
