K,Actual_OS_percent,Actual_Tp,Actual_Ts,Actual_ess,SecondOrder_OS_percent,SecondOrder_Tp,SecondOrder_Ts,SecondOrder_ess,OS_Error_percent,Tp_Error_percent,Ts_Error_percent,Pole1,Pole2,Pole3,Pole4,DominantPole1,DominantPole2
0.1,44.8078976648579,27.9643287721614,135.586399835925,0,39.2123277269765,32.8992103201898,139.728824662521,0,12.4879100102701,17.6470588235294,3.05519198946885,-0.972004372499327+3.07192570054304i,-0.972004372499327-3.07192570054304i,-0.0279956275006724+0.0940677716337117i,-0.0279956275006724-0.0940677716337117i,-0.0279956275006724+0.0940677716337117i,-0.0279956275006724-0.0940677716337117i
0.25,30.5407007288608,16.4747604138501,50.2305724856935,1.11022302462516e-16,21.4455186838801,22.8961849526509,55.4608353972119,0,29.7805283700833,38.9773470295954,10.4125090611064,-0.933626227927765+3.17926074498321i,-0.933626227927765-3.17926074498321i,-0.0663737720722349+0.135515779533286i,-0.0663737720722349-0.135515779533286i,-0.0663737720722349+0.135515779533286i,-0.0663737720722349-0.135515779533286i
0.5,20.794146579276,11.3247460225699,31.0643370946999,8.88178419700125e-16,9.66895645552914,19.3075869936705,29.1220170509041,0,53.5015470884221,70.4902428292085,6.25257200201826,-0.878356793336237+3.35552465128029i,-0.878356793336237-3.35552465128029i,-0.121643206663763+0.163591077928073i,-0.121643206663763-0.163591077928073i,-0.121643206663763+0.163591077928073i,-0.121643206663763-0.163591077928073i
1,13.0226943567905,7.89054626651749,17.943155850045,6.66133814775094e-16,2.01013141674404,18.9778378036264,19.3181345033335,0,84.5643968777022,140.513611638733,7.66297001920665,-0.79373863879595+3.69392154293417i,-0.79373863879595-3.69392154293417i,-0.20626136120405+0.1658565961614i,-0.20626136120405-0.1658565961614i,-0.20626136120405+0.1658565961614i,-0.20626136120405-0.1658565961614i
1.5,9.69997205324962,7.0332475118121,15.5430174063983,2.22044604925031e-15,0.233255672379329,22.7965133364312,15.2127592196179,0,97.5952954183906,224.124997707605,2.12480098390925,-0.733344105925857+4.01120839395268i,-0.733344105925857-4.01120839395268i,-0.266655894074145+0.138225047745269i,-0.266655894074145-0.138225047745269i,-0.266655894074145+0.138225047745269i,-0.266655894074145-0.138225047745269i
2,8.49420373857424,5.21620972915138,13.9004481441544,3.44169137633799e-15,0,26.474051434967,16.6100202370428,0,100,407.534259732959,19.4926959533159,-0.688628895612665+4.30848657707503i,-0.688628895612665-4.30848657707503i,-0.311371104387335+0.0900285270592821i,-0.311371104387335-0.0900285270592821i,-0.311371104387335+0.0900285270592821i,-0.311371104387335-0.0900285270592821i
2.5,11.8751306016456,0.745652209249234,12.6000695695539,6.66133814775094e-16,63.8541797833079,0.677865644772031,5.64767672273073,0,437.713494910612,9.09090909090907,55.1774163503234,-0.654366456485559+4.58810716726694i,-0.654366456485559-4.58810716726694i,-0.401035461806557+0i,-0.290231625222327+0i,-0.654366456485559+4.58810716726694i,-0.654366456485559-4.58810716726694i
3,19.2279856452995,0.706292557027361,11.5114535879999,2.22044604925031e-16,66.5978444704338,0.642084142752146,5.97147005202194,0,246.358925469213,9.09090909090909,48.1258382673159,-0.627336877808286+4.85242119857478i,-0.627336877808286-4.85242119857478i,-0.489119669787641+0i,-0.256206574595787+0i,-0.627336877808286+4.85242119857478i,-0.627336877808286-4.85242119857478i
4,30.0870916730431,0.642913472089426,10.1926528238169,1.55431223447522e-15,70.7788487382261,0.584466792808569,6.55401021237789,0,135.24656190562,9.09090909090908,35.6986809453245,-0.587477545603154+5.3429424076717i,-0.587477545603154-5.3429424076717i,-0.590648616785037+0i,-0.234396292008655+0i,-0.587477545603154+5.3429424076717i,-0.587477545603154-5.3429424076717i
5,38.4044748368362,0.539839297969808,9.3764628919357,1.99840144432528e-15,73.8181197303298,0.539839297969808,6.6304816694283,0,92.2122878751778,0,29.2858965492105,-0.559524079581397+5.79253544618783i,-0.559524079581397-5.79253544618783i,-0.655837623705066+0i,-0.225114217132141+0i,-0.559524079581397+5.79253544618783i,-0.559524079581397-5.79253544618783i
7.5,51.7423437925168,0.461504112579233,8.85751747212864,3.33066907387547e-15,78.742884908941,0.461504112579233,7.46378781156545,0,52.1826788996929,0,15.7349919427057,-0.516253167889351+6.78768659717468i,-0.516253167889351-6.78768659717468i,-0.752374847276577+0i,-0.215118816944719+0i,-0.516253167889351+6.78768659717468i,-0.516253167889351-6.78768659717468i
10,59.7638324780158,0.409589961509068,8.68537512137565,1.33226762955019e-15,81.7307177281323,0.409589961509068,7.84602784599561,0,36.7561522400643,0,9.66391507160486,-0.491478827643746+7.65432940219027i,-0.491478827643746-7.65432940219027i,-0.806201162409142+0i,-0.210841182303366+0i,-0.491478827643746+7.65432940219027i,-0.491478827643746-7.65432940219027i
20,74.5224384929317,0.301149838407323,8.79196208756195,6.66133814775094e-16,87.3302284690886,0.301149838407323,8.48433717180688,0,17.1864880365821,1.84330669160697e-14,3.49893360198026,-0.449422417731099+10.4223065111396i,-0.449422417731099-10.4223065111396i,-0.896058158405272+0i,-0.205097006132531+0i,-0.449422417731099+10.4223065111396i,-0.449422417731099-10.4223065111396i
