K,Nominal_OS_percent,Nominal_Tp,Nominal_Ts,Nominal_ess,Minus20_OS_percent,Minus20_Tp,Minus20_Ts,Minus20_ess,Plus20_OS_percent,Plus20_Tp,Plus20_Ts,Plus20_ess,Minus20_OS_error_percent,Minus20_Tp_error_percent,Minus20_Ts_error_percent,Plus20_OS_error_percent,Plus20_Tp_error_percent,Plus20_Ts_error_percent
0.1,44.8078976648579,27.9643287721614,135.586399835925,0,38.1254968717399,21.5458394942003,85.6382004923162,2.22044604925031e-16,50.3770952834151,32.6751556163383,196.780684049213,2.44249065417534e-15,14.9134441501792,22.9524167386798,36.8386500445853,12.4290536016935,16.8458427254174,45.1330548545727
0.25,30.5407007288608,16.4747604138501,50.2305724856935,1.11022302462516e-16,24.3265008540936,12.8751038071936,39.0645469798512,1.77635683940025e-15,35.9367895987788,20.3849726126454,80.3311362026875,2.22044604925031e-16,20.3472733973479,21.8495232478788,22.2295406030312,17.668516900854,23.7345618422957,59.9247872907822
0.5,20.794146579276,11.3247460225699,31.0643370946999,8.88178419700125e-16,15.5373062970219,9.12264579664018,19.4230127424055,1.77635683940025e-15,25.5529896949863,13.7616882767977,42.1609558888362,0,25.2803848535586,19.4450296857957,37.4748841953578,22.8854937497318,21.5187364853138,35.721408637526
1,13.0226943567905,7.89054626651749,17.943155850045,6.66133814775094e-16,11.044080353223,5.02291995773555,15.2302253971416,4.44089209850063e-15,16.703776130353,9.63029740540837,20.4075773895261,1.33226762955019e-15,15.1935839800755,36.3425574342089,15.1195836204957,28.2666679621724,22.0485512679051,13.7346047711828
1.5,9.69997205324962,7.0332475118121,15.5430174063983,2.22044604925031e-15,16.3341186804764,0.952556252776129,13.2016189334072,1.11022302462516e-15,12.5306470770217,7.91572064270797,17.7536425321679,8.88178419700125e-16,68.3934612471825,86.4563809083024,15.0639892613596,29.1823008172875,12.5471644416578,14.2226252983516
2,8.49420373857424,5.21620972915138,13.9004481441544,3.44169137633799e-15,27.7491173402159,0.874002874543475,12.1569318643039,1.33226762955019e-15,10.0630727794869,7.20041170412088,16.0414708288961,2.22044604925031e-16,226.682973404564,83.2444836399309,12.5428781991014,18.4698776859805,38.0391525264132,15.4025443103575
2.5,11.8751306016456,0.745652209249234,12.6000695695539,6.66133814775094e-16,35.878601536562,0.811770402305365,11.3738520171689,1.33226762955019e-15,8.40739699997044,6.86579034295621,14.7505601523463,6.66133814775094e-16,202.132269026079,8.86716249693703,9.73183160312025,29.2016460113254,820.776503816583,17.0672913424923
3,19.2279856452995,0.706292557027361,11.5114535879999,2.22044604925031e-16,42.3046441568961,0.691854863580432,11.8775117178451,8.88178419700125e-16,7.42912777348568,5.52254227553562,13.7045240841307,5.55111512312578e-16,120.015996149019,2.04415200235078,3.17994705922086,61.3629430012507,681.905772698336,19.0512039106594
4,30.0870916730431,0.642913472089426,10.1926528238169,1.55431223447522e-15,51.8756620057582,0.620651482007722,11.9497022506962,4.44089209850063e-16,11.4262445589867,0.600933659570067,12.0511988269544,7.7715611723761e-16,72.4183333154687,3.4626728242843,17.238391783282,62.0227681586646,6.52962091195989,18.2341735293355
5,38.4044748368362,0.539839297969808,9.3764628919357,1.99840144432528e-15,58.4392308361147,0.567664918495621,12.0881193102955,2.22044604925031e-16,20.2722084777571,0.560585097331277,10.796573674584,1.55431223447522e-15,52.1677645232681,5.15442662852764,28.919822427837,47.2139416985005,3.84295834695397,15.1454850194066
7.5,51.7423437925168,0.461504112579233,8.85751747212864,3.33066907387547e-15,68.5006589721297,0.478287479283087,13.921830867963,8.88178419700125e-16,35.7335027768499,0.442484835612445,8.5970059777886,1.11022302462516e-15,32.3880094160647,3.63666676989199,57.175313644821,30.9395358661394,4.12115005010323,2.94113441107829
10,59.7638324780158,0.409589961509068,8.68537512137565,1.33226762955019e-15,74.2906363352521,0.421105745559639,14.7815843740704,9.99200722162641e-16,45.5571017512972,0.396234436271893,7.59737268625737,2.22044604925031e-15,24.3070152212544,2.81153962078161,70.1893604766855,23.7714519595853,3.26070619210706,12.526832979736
20,74.5224384929317,0.301149838407323,8.79196208756195,6.66133814775094e-16,84.43346535108,0.305596125028346,16.2455081668471,9.99200722162641e-16,64.454811861514,0.295795671769266,6.297979997886,2.22044604925031e-16,13.2993861427232,1.47643666174208,84.7768223412802,13.5095238897377,1.77790785689075,28.3666156068189
50,86.2704136918669,0.195272440115901,9.20612130966981,2.22044604925031e-16,92.0043408092739,0.19646333805854,18.0846773868297,1.33226762955019e-15,80.325376936454,0.19380247171761,6.41778199775045,2.22044604925031e-16,6.64645835348249,0.609864833937373,96.4418757749166,6.89116523382726,0.752778219711461,30.2878836605224
100,91.3364093268164,0.139271158669473,9.35120931515102,1.11022302462516e-15,95.1043205788801,0.139700663397824,18.8604381747399,6.66133814775094e-16,87.4216149928877,0.138736362847707,6.26844567026824,2.1094237467878e-15,4.12531134060842,0.308394596881373,101.689830043499,4.28612681709544,0.383996102908247,32.9664703354253
