K,PoleIndex,Pole_Real,Pole_Imag
0.1,1,-0.0279956275006725,0.0940677716337116
0.1,2,-0.972004372499328,3.07192570054304
0.1,3,-0.0279956275006725,-0.0940677716337116
0.1,4,-0.972004372499328,-3.07192570054304
0.5,1,-0.121643206663763,0.163591077928074
0.5,2,-0.878356793336236,3.35552465128028
0.5,3,-0.121643206663763,-0.163591077928074
0.5,4,-0.878356793336236,-3.35552465128028
1,1,-0.20626136120405,0.1658565961614
1,2,-0.79373863879595,3.69392154293417
1,3,-0.20626136120405,-0.1658565961614
1,4,-0.79373863879595,-3.69392154293417
2,1,-0.311371104387335,0.0900285270592816
2,2,-0.688628895612664,4.30848657707502
2,3,-0.311371104387335,-0.0900285270592816
2,4,-0.688628895612664,-4.30848657707502
5,1,-0.559524079581394,5.79253544618783
5,2,-0.559524079581394,-5.79253544618783
5,3,-0.225114217132141,0
5,4,-0.655837623705066,0
10,1,-0.491478827643747,7.65432940219028
10,2,-0.491478827643747,-7.65432940219028
10,3,-0.210841182303366,0
10,4,-0.806201162409141,0
20,1,-0.449422417731097,10.4223065111396
20,2,-0.449422417731097,-10.4223065111396
20,3,-0.205097006132531,0
20,4,-0.896058158405273,0
50,1,-0.420787388097635,16.0827504168911
50,2,-0.420787388097635,-16.0827504168911
50,3,-0.201970387008674,0
50,4,-0.956454836796057,0
