Inverter_Voltage_V,Inverter_Current_A,Frequency_Hz,Motor_Speed_RPM,DC_Link_Voltage_V
13,0.65,0.19,5,332
20,0.91,2.04,61,334
28,1.09,4.0,120,333
35,1.15,5.82,175,332
44,1.18,8.01,241,332
50,1.19,9.57,288,332
52,1.19,10.02,301,331
60,1.2,11.81,356,332
70,1.2,14.24,428,332
75,1.2,15.35,462,333
80,1.2,16.48,496,332
90,1.2,18.74,564,333
100,1.2,21.02,633,332
120,1.2,25.45,766,332
140,1.2,29.9,901,333
160,1.2,34.43,1035,332
180,1.19,38.8,1169,332
200,1.19,43.4,1307,332
220,1.2,45.47,1370,332
230,1.2,50.0,1506,332
