Inverter_Voltage_V,Frequency_Hz,Inverter_Current_A,Motor_Speed_RPM,DC_Link_Voltage_V
13,0.19,0.64,5,336
20,2.02,0.9,60,335
28,4.22,1.09,126,334
35,5.92,1.15,177,333
44,8.3,1.18,250,333
50,9.52,1.19,286,333
52,10.0,1.19,301,333
60,11.86,1.19,357,333
70,14.32,1.19,431,332
75,15.43,1.19,464,332
80,16.5,1.2,497,332
90,18.68,1.2,562,332
100,21.0,1.2,632,332
120,25.52,1.19,769,332
140,30.0,1.19,902,332
160,34.4,1.19,1036,332
180,38.74,1.18,1166,332
200,43.19,1.18,1301,331
210,45.6,1.18,1374,331
230,50.0,1.19,1506,331
