Set_Frequency_Hz,Video_Time_s,Time_Since_Step_Start_s,RPM_Reading,Note
15,1.5,-3.2,0,pre-step (motor at rest)
15,2.0,-2.7,0,pre-step (motor at rest)
15,2.5,-2.2,0,pre-step (motor at rest)
15,3.0,-1.7,0,pre-step (motor at rest)
15,3.5,-1.2,0,pre-step (motor at rest)
15,4.0,-0.7,0,pre-step (motor at rest)
15,4.5,-0.2,0,pre-step (motor at rest)
15,5.0,0.3,224,tachometer noise (low-speed pulse quantisation)
15,5.5,0.8,9,tachometer noise (low-speed pulse quantisation)
15,6.0,1.3,167,
15,6.5,1.8,167,
15,7.0,2.3,271,
15,7.2,2.5,271,
15,7.5,2.8,358,
15,8.0,3.3,436,
15,8.5,3.8,451,
15,9.0,4.3,451,
15,9.5,4.8,451,
15,10.0,5.3,451,
15,10.5,5.8,451,
30,0.0,-3.7,0,pre-step (motor at rest)
30,0.5,-3.2,0,pre-step (motor at rest)
30,1.0,-2.7,0,pre-step (motor at rest)
30,1.5,-2.2,0,pre-step (motor at rest)
30,2.0,-1.7,0,pre-step (motor at rest)
30,2.5,-1.2,0,pre-step (motor at rest)
30,3.0,-0.7,0,pre-step (motor at rest)
30,3.5,-0.2,0,pre-step (motor at rest)
30,4.0,0.3,88,tachometer noise (low-speed pulse quantisation)
30,4.5,0.8,4,tachometer noise (low-speed pulse quantisation)
30,5.0,1.3,221,
30,5.5,1.8,324,
30,6.0,2.3,410,
30,6.5,2.8,491,
30,7.0,3.3,568,
30,7.5,3.8,643,
30,8.0,4.3,711,
30,8.5,4.8,777,
30,9.0,5.3,845,
30,9.5,5.8,899,
30,10.0,6.3,903,
30,10.5,6.8,903,
30,11.0,7.3,904,
30,11.5,7.8,904,
30,12.0,8.3,903,
30,12.5,8.8,903,
30,13.0,9.3,903,
30,13.5,9.8,903,
45,0.0,-1.2,0,pre-step (motor at rest)
45,0.5,-0.7,0,pre-step (motor at rest)
45,1.0,-0.2,0,pre-step (motor at rest)
45,1.5,0.3,180,
45,2.0,0.8,180,
45,2.5,1.3,89,tachometer noise (low-speed pulse quantisation)
45,3.0,1.8,234,
45,3.5,2.3,332,
45,4.0,2.8,417,
45,4.5,3.3,497,
45,5.0,3.8,573,
45,5.5,4.3,647,
45,6.0,4.8,714,
45,6.5,5.3,781,
45,7.0,5.8,848,
45,7.5,6.3,915,
45,8.0,6.8,1045,
45,8.5,7.3,1108,
45,9.0,7.8,1171,
45,9.5,8.3,1232,
45,10.0,8.8,1293,
45,10.5,9.3,1355,
45,11.0,9.8,1355,
45,11.5,10.3,1356,
45,12.0,10.8,1355,
45,12.5,11.3,1355,
50,0.0,-0.85,0,pre-step (motor at rest)
50,0.5,-0.35,0,pre-step (motor at rest)
50,1.0,0.15,153,
50,1.5,0.65,153,
50,2.0,1.15,99,tachometer noise (low-speed pulse quantisation)
50,2.5,1.65,238,
50,3.0,2.15,335,
50,3.5,2.65,335,
50,4.0,3.15,499,
50,4.5,3.65,499,
50,5.0,4.15,649,
50,5.5,4.65,716,
50,6.0,5.15,782,
50,6.5,5.65,849,
50,7.0,6.15,916,
50,7.5,6.65,983,
50,8.0,7.15,1088,
50,8.5,7.65,1172,
50,9.0,8.15,1233,
50,9.5,8.65,1294,
50,10.0,9.15,1414,
50,10.5,9.65,1475,
50,11.0,10.15,1506,
50,11.5,10.65,1506,
50,12.0,11.15,1506,
50,12.5,11.65,1506,
50,13.0,12.15,1506,
