a,discriminant,break_in_s,break_in_K,breakaway_s,breakaway_K,loop_present
1,0.0,-1.0,,-1.0,,False
2,-7.0,,,,,False
3,-12.0,,,,,False
4,-15.0,,,,,False
5,-16.0,,,,,False
6,-15.0,,,,,False
7,-12.0,,,,,False
8,-7.0,,,,,False
9,0.0,-3.0,27.0,-3.0,27.0,False
10,9.0,-2.5,31.25,-4.0,32.0,True
11,20.0,-2.381966011250105,35.38196601125011,-4.618033988749895,37.6180339887499,True
12,33.0,-2.313859338365493,39.47078900754824,-5.186140661634507,43.77921099245176,True
13,48.0,-2.267949192431123,43.53589838486225,-5.732050807568877,50.46410161513776,True
14,65.0,-2.2344355629253627,47.5860889073134,-6.265564437074637,57.66391109268658,True
15,84.0,-2.20871215252208,51.62613645756624,-6.7912878474779195,65.37386354243375,True
16,105.0,-2.1882623085101005,55.65891807978535,-7.311737691489899,73.59108192021465,True
17,128.0,-2.1715728752538097,59.68629150101524,-7.82842712474619,82.31370849898475,True
18,153.0,-2.157670780786755,63.709518513540395,-8.342329219213244,91.54048148645961,True
19,180.0,-2.1458980337503153,67.72949016875158,-8.854101966249685,101.27050983124843,True
20,209.0,-2.13579192629976,71.74685559464868,-9.36420807370024,111.50314440535132,True
21,240.0,-2.127016653792583,75.7620999227555,-9.872983346207416,122.23790007724452,True
22,273.0,-2.119322089535424,79.77559358198026,-10.380677910464577,133.47440641801975,True
23,308.0,-2.1125178063039387,83.78762464412758,-10.887482193696062,145.2123753558724,True
24,345.0,-2.1064560947483226,87.79842071061242,-11.393543905251677,157.45157928938755,True
25,384.0,-2.1010205144336442,91.80816411546915,-11.898979485566356,170.19183588453083,True
26,425.0,-2.096117967977924,95.81700272781237,-12.403882032022075,183.43299727218763,True
27,468.0,-2.0916730868040156,99.82505778123615,-12.908326913195985,197.17494221876385,True
28,513.0,-2.0876241735469376,103.83242964869592,-13.412375826453061,211.4175703513041,True
29,560.0,-2.083920216900384,107.83920216900384,-13.916079783099615,226.1607978309962,True
30,609.0,-2.0805186603734667,111.84544593392138,-14.419481339626532,241.40455406607862,True
31,660.0,-2.0773837106674353,115.85122081734178,-14.922616289332565,257.1487791826582,True
32,713.0,-2.0744850385906553,119.85657794379254,-15.425514961409345,273.39342205620744,True
33,768.0,-2.0717967697244912,123.8615612366939,-15.928203230275509,290.13843876330617,True
34,825.0,-2.0692966918274642,127.86620864784328,-16.430703308172536,307.3837913521567,True
35,884.0,-2.066965626340747,131.8705531424297,-16.933034373659254,325.1294468575703,True
36,945.0,-2.064786925530301,135.87462349465906,-17.4352130744697,343.3753765053409,True
37,1008.0,-2.062746066806228,139.8784449352872,-17.937253933193773,362.12155506471277,True
38,1073.0,-2.060830322920401,143.88203968234578,-18.439169677079597,381.3679603176542,True
39,1140.0,-2.059028491932933,147.885427378994,-18.940971508067065,401.11457262100595,True
40,1209.0,-2.0573306746431452,151.88862545696875,-19.442669325356853,421.3613745430313,True
41,1280.0,-2.055728090000841,155.89164944001345,-19.94427190999916,442.1083505599866,True
42,1353.0,-2.05421292112524,159.89451319856644,-20.44578707887476,463.3554868014335,True
43,1428.0,-2.0527781861544074,163.89722916462492,-20.947221813845594,485.1027708353751,True
44,1505.0,-2.051417629364588,167.89980851388032,-21.448582370635414,507.3501914861196,True
45,1584.0,-2.0501256289338006,171.9022613208084,-21.9498743710662,530.0977386791916,True
46,1665.0,-2.0488971184484175,175.90459669129575,-22.451102881551584,553.3454033087042,True
47,1748.0,-2.047727519816563,179.90682287651472,-22.95227248018344,577.0931771234854,True
48,1833.0,-2.046612685696177,183.90894737107547,-23.453387314303825,601.3410526289246,True
49,1920.0,-2.0455488498966776,187.91097699793357,-23.954451150103324,626.0890230020665,True
50,2009.0,-2.044532584492515,191.91291798209656,-24.455467415507485,651.3370820179034,True
