a,K,zeta,wn,s3_real_pole,PO_formula,PO_actual,PO_abs_err,Ts_formula,Ts_actual,Ts_abs_err
2,10000,0.0049997499437446895,99.99499987504377,-1.0001000099999997,98.4415343419397,98.46094986221065,0.019415520270953834,6.000600120017999,5.970813442089231,0.02978667792876788
3,10000,0.009999999849919963,99.98999849974996,-1.0002000600180048,96.90709044333991,96.9457368125422,0.038646369202282926,3.00030012004802,2.9863906084295944,0.013909511618425796
4,10000,0.015000749981108287,99.98499587333055,-1.0003001500840485,95.39618965384938,95.45376471928893,0.0575750654395506,2.0002001200780524,1.9819811456263714,0.01821897445168097
5,10000,0.020002000600139888,99.9799919949964,-1.0004002802281982,93.90836570919477,93.98456639425883,0.07620068506406596,1.5001501201081036,1.4799642669505797,0.02018585315752386
6,10000,0.02500375197009318,99.97498686395778,-1.000500450480555,92.44316435081423,92.53769293121148,0.09452858039725243,1.2001201201381684,1.1955586076606968,0.004561512477471608
7,10000,0.030006004354294843,99.96998047942411,-1.000600660871254,91.00014295919911,91.11270169141596,0.1125587322168542,1.0001001201682544,0.9783460979748031,0.02175402219345135
8,10000,0.03500875801632063,99.96497284060393,-1.0007009114304635,89.5788702003838,89.70915988882142,0.1302896884376139,0.8572286916269263,0.851346972649212,0.005881718977714279
9,10000,0.04001201321999515,99.95996394670526,-1.0008012021883863,88.17892568504831,88.3266443574157,0.14771867236738956,0.7500751202284721,0.7279358310267801,0.02213928920169206
10,10000,0.04501577022939266,99.95495379693476,-1.000901533175258,86.7998996397236,86.96470259251822,0.16480295279461643,0.6667334535919403,0.6631211697984863,0.0036122837934539076
11,10000,0.050020029308837075,99.94994239049876,-1.00100190442135,85.44139258961215,85.62300195902904,0.18160936941688988,0.6000601202887592,0.5997227098957258,0.00033741039303336606
12,10000,0.05502479072290258,99.94492972660258,-1.0011023159569659,84.10301505255876,84.30111310517641,0.19809805261765234,0.5455092112280194,0.5387188446232569,0.00679036660476251
13,10000,0.0600300547364139,99.93991580445076,-1.001202767812445,82.78438724372725,82.99864915428546,0.2142619105582071,0.5000501203491139,0.4781086700785592,0.02194145027055472
14,10000,0.06503582161444636,99.934900623247,-1.0013032600181593,81.48513879055882,81.71523176812461,0.23009297756578917,0.4615847357639321,0.4457117069230823,0.01587302884084979
15,10000,0.0700420916223266,99.92988418219427,-1.0014037926045156,80.20490845760631,80.4504909463334,0.24558248872709498,0.4286144061238222,0.41491246107403185,0.013701945049790332
16,10000,0.07504886502563274,99.92486648049467,-1.0015043656019558,78.94334388085721,79.2044941991292,0.2611503182719872,0.40004012043977305,0.38350941475101297,0.016530705688760083
17,10000,0.08005614209019472,99.91984751734937,-1.0016049790409545,77.70010131117505,77.97791763795958,0.2778163267845315,0.37503762047002703,0.3537043661930429,0.021333254276984126
18,10000,0.08506392308209497,99.91482729195873,-1.001705632952021,76.47484536650457,76.7690748656685,0.29422949916393293,0.35297659108853285,0.3507098138362564,0.002266777252276475
19,10000,0.09007220826766811,99.90980580352262,-1.0018063273657003,75.26724879250291,75.57750541737893,0.31025662487601835,0.3333667871972511,0.32070052227977885,0.012666264917472247
20,10000,0.09508099791350134,99.90478305123965,-1.0019070623125703,74.07699223127209,74.40293852407105,0.32594629279896026,0.3158211731924686,0.29208939083266205,0.023731782359806552
