a,K,ds_da_analytical_re,ds_da_analytical_im,ds_da_numeric_re,ds_da_numeric_im,abs_diff,|ds/da|
2,10000,-0.4999499849980002,-0.007500468650143861,-0.49994998500224597,-0.007500468655052828,6.490340363625584e-12,0.5000062444904787
4,10000,-0.4999499449499584,-0.012504283324208705,-0.49994994495539125,-0.01250428340426879,8.024420726954633e-11,0.5001062932586617
6,10000,-0.49994990484174856,-0.017511856026019144,-0.49994990484192314,-0.017511856142959914,1.1694089988616122e-10,0.5002565066570843
8,10000,-0.49994986467323566,-0.022524697574583325,-0.4999498646496292,-0.022524697627090973,5.757010975635296e-11,0.5004570203200401
10,10000,-0.499949824444283,-0.027544326728381974,-0.49994982443735125,-0.027544327068085295,3.397740355583758e-10,0.5007080156106842
12,10000,-0.49994978415475594,-0.03257227250145053,-0.49994978414957814,-0.032572272345987585,1.5554914934785787e-10,0.5010097200776605
14,10000,-0.49994974380451807,-0.03761007651573432,-0.49994974384404145,-0.037610076546457094,5.005983039461966e-11,0.5013624080300823
16,10000,-0.4999497033934315,-0.042659295398247726,-0.4999497033519873,-0.04265929547386804,8.623254779792923e-11,0.5017664012337365
18,10000,-0.49994966292136056,-0.047721503231851654,-0.4999496629931599,-0.04772150305143441,1.9417911226187982e-10,0.5022220697319958
20,10000,-0.49994962238816654,-0.05279829406881305,-0.49994962243893326,-0.05279829437654371,3.1189007619809726e-10,0.5027298327955555
22,10000,-0.49994958179371235,-0.057891284516721056,-0.49994958185806126,-0.057891284441780044,9.877721453710329e-11,0.5032901600058398
24,10000,-0.4999495411378589,-0.06300211640680624,-0.49994954117060786,-0.06300211623511132,1.7479027818446197e-10,0.5039035724776045
26,10000,-0.4999495004204682,-0.06813245955526537,-0.49994950049203624,-0.06813246002934648,4.794526874438732e-10,0.5045706442270751
28,10000,-0.4999494596414001,-0.07328401462881097,-0.49994945968911964,-0.07328401459005818,6.147303832264235e-11,0.5052920036927595
30,10000,-0.4999494188005159,-0.0784585161263863,-0.49994941877073984,-0.07845851591525843,2.1321723625039943e-10,0.5060683354169949
32,10000,-0.4999493778976745,-0.08365773548977631,-0.4999493780477593,-0.08365773574325885,2.945824823610548e-10,0.5069003818972216
34,10000,-0.49994933693273613,-0.08888348435676402,-0.4999493369695074,-0.08888348467905871,3.2438556199519906e-10,0.5077889456170561
36,10000,-0.4999492959055594,-0.09413761797147994,-0.49994929597119153,-0.09413761809184962,1.3710008040996244e-10,0.5087348912683393
38,10000,-0.4999492548160032,-0.09942203876774589,-0.4999492549018214,-0.09942203853086085,2.5195095336813013e-10,0.5097391481766061
40,10000,-0.4999492136639259,-0.1047387001424742,-0.4999492134416528,-0.10473870084126702,7.33291721880222e-10,0.5108027129437676
42,10000,-0.4999491724491851,-0.1100896104376205,-0.49994917242557335,-0.11008961102731973,5.901717546138011e-10,0.5119266523232914
44,10000,-0.49994913117163836,-0.11547683715077091,-0.49994913123185825,-0.11547683726575997,1.2980338366699308e-10,0.5131121063448237
46,10000,-0.4999490898311423,-0.12090251139623445,-0.49994908991379816,-0.12090251139795782,8.2673846295381e-11,0.5143602917069942
48,10000,-0.49994904842755317,-0.12636883264049942,-0.4999490486312652,-0.12636883234051766,3.626122660799809e-10,0.5156725054591708
50,10000,-0.49994900696072786,-0.13187807373813962,-0.4999490068158252,-0.13187807397230245,2.753706714225997e-10,0.5170501289951489
2,30000,-0.4999833316665925,-0.004330217223498181,-0.49998333166878517,-0.004330216967218803,2.56288757932284e-10,0.5000020827212908
4,30000,-0.4999833272203696,-0.007217702424836183,-0.49998332721790106,-0.007217702346906663,7.796860765158226e-11,0.500035421471964
6,30000,-0.49998332277192303,-0.010105909828472228,-0.49998332276590673,-0.010105909495905507,3.3262113516573647e-10,0.5000854451626383
8,30000,-0.49998331832125,-0.012995128801964321,-0.49998331832057374,-0.012995129026194263,2.2423096160738163e-10,0.5001521688167593
10,30000,-0.49998331386834904,-0.01588564921942601,-0.49998331387524075,-0.0158856492760151,5.700720028991594e-11,0.5002356124846558
12,30000,-0.49998330941321956,-0.018777761607267695,-0.4999833093588535,-0.018777761141564042,4.688662511037729e-10,0.5003358012602882
14,30000,-0.49998330495585863,-0.02167175729070135,-0.49998330498901566,-0.02167175679801403,4.938017674925981e-10,0.5004527653022313
16,30000,-0.499983300496265,-0.02456792854118241,-0.4999833005392418,-0.02456792842053801,1.280705891298322e-10,0.500586539858937
18,30000,-0.49998329603443725,-0.02746656872496295,-0.4999832961338768,-0.02746656747376619,1.2551420484606476e-09,0.5007371652983058
