a,K,routh_s1_row_entry_K(a-1)/a,roots_max_real_part,n_RHP_roots,theory,numeric_check
0.2,1,-4.0,0.2622915346829071,2,unstable,unstable
0.2,10,-40.0,0.3678038558339566,2,unstable,unstable
0.2,100,-400.0,0.3961005368872086,2,unstable,unstable
0.2,1000,-4000.0,0.39960103641421263,2,unstable,unstable
0.2,10000,-40000.0,0.3999600103964016,2,unstable,unstable
0.5,1,-1.0,0.15188044168445575,2,unstable,unstable
0.5,10,-10.0,0.22898576067784637,2,unstable,unstable
0.5,100,-100.0,0.2475487256390816,2,unstable,unstable
0.5,1000,-1000.0,0.24975049869142474,2,unstable,unstable
0.5,10000,-10000.0,0.2499750049986884,2,unstable,unstable
0.8,1,-0.24999999999999994,0.054730917809872215,2,unstable,unstable
0.8,10,-2.499999999999999,0.09119840949000631,2,unstable,unstable
0.8,100,-24.999999999999993,0.09901376453778532,2,unstable,unstable
0.8,1000,-249.99999999999991,0.09990013976046175,2,unstable,unstable
0.8,10000,-2499.999999999999,0.09999000139975922,2,unstable,unstable
0.95,1,-0.052631578947368474,0.012808502130403798,2,unstable,unstable
0.95,10,-0.5263157894736847,0.022745875080091127,2,unstable,unstable
0.95,100,-5.263157894736847,0.024752717599913154,2,unstable,unstable
0.95,1000,-52.63157894736847,0.02497502746722926,2,unstable,unstable
0.95,10000,-526.3157894736847,0.024997500274967832,2,unstable,unstable
1.0,1,0.0,-7.771561172376096e-16,0,marginal,marginal
1.0,10,0.0,-8.326672684688674e-16,0,marginal,marginal
1.0,100,0.0,1.1102230246251565e-16,0,marginal,marginal
1.0,1000,0.0,4.440892098500626e-16,0,marginal,marginal
1.0,10000,0.0,6.661338147750939e-16,0,marginal,marginal
1.05,1,0.04761904761904766,-0.01218369756442119,0,stable,stable
1.05,10,0.4761904761904766,-0.022708305542226803,0,stable,stable
1.05,100,4.761904761904766,-0.024752232304036226,0,stable,stable
1.05,1000,47.619047619047656,-0.024975022482199183,0,stable,stable
1.05,10000,476.1904761904766,-0.02499750022498204,0,stable,stable
1.5,1,0.3333333333333333,-0.09140867674661406,0,stable,stable
1.5,10,3.3333333333333335,-0.22519075757362791,0,stable,stable
1.5,100,33.333333333333336,-0.24750018809664553,0,stable,stable
1.5,1000,333.3333333333333,-0.24975000018756344,0,stable,stable
1.5,10000,3333.3333333333335,-0.24997500000018802,0,stable,stable
2.0,1,0.5,-0.12256116687665351,0,stable,stable
2.0,10,5.0,-0.44518534310156543,0,stable,stable
2.0,100,50.0,-0.4949500153518753,0,stable,stable
2.0,1000,500.0,-0.4994995000015052,0,stable,stable
2.0,10000,5000.0,-0.49994999500000037,0,stable,stable
5.0,1,0.8,-0.08201204045934025,0,stable,stable
5.0,10,8.0,-1.1746854042803045,0,stable,stable
5.0,100,80.0,-1.0430497503088056,0,stable,stable
5.0,1000,800.0,-1.0040282299978944,0,stable,stable
5.0,10000,8000.0,-1.0004002802281982,0,stable,stable
10.0,1,0.9,-0.045365830504435295,0,stable,stable
10.0,10,9.0,-0.49317241390113686,0,stable,stable
10.0,100,90.0,-1.1094278413095522,0,stable,stable
10.0,1000,900.0,-1.009156242207294,0,stable,stable
10.0,10000,9000.0,-1.000901533175258,0,stable,stable
50.0,1,0.98,-0.009803766092286507,0,stable,stable
50.0,10,9.8,-0.09837923754269993,0,stable,stable
50.0,100,98.0,-1.0208325292762672,0,stable,stable
50.0,1000,980.0,-1.054417517572007,0,stable,stable
50.0,10000,9800.0,-1.004948111745725,0,stable,stable
