a,K,pole_real,pole_imag,zeta_exact,zeta_approx,abs_error,pct_error_%
1,10000,6.661338147750939e-16,99.99999999999996,-6.661338147750942e-18,0.0,6.661338147750942e-18,
2,10000,-0.49994999500000037,99.99375005475345,0.0049997499437446895,0.005,2.500562553105559e-07,0.005001375231243464
3,10000,-0.999899969990997,99.9849988749813,0.009999999849919963,0.01,1.5008003693972594e-10,1.5008003919212772e-06
4,10000,-1.4998499249579753,99.9737458035485,0.015000749981108287,0.015,7.499811082879032e-07,0.0049996240803454346
5,10000,-1.9997998598858993,99.9599899951973,0.020002000600139888,0.02,2.000600139887704e-06,0.010002000199288626
6,10000,-2.4997497747597244,99.94373041623031,0.02500375197009318,0.025,3.751970093179152e-06,0.01500562834596527
7,10000,-2.9996996695643703,99.92496584412152,0.030006004354294843,0.03,6.004354294843889e-06,0.020010509309895733
8,10000,-3.4996495442847673,99.90369486705619,0.03500875801632063,0.035,8.758016320629947e-06,0.025016643882502406
9,10000,-3.9995993989058096,99.87991588339914,0.04001201321999515,0.04,1.2013219995152258e-05,0.030024032855084898
10,10000,-4.499549233412375,99.85362710108963,0.04501577022939266,0.045,1.577022939266287e-05,0.03503267702029862
11,10000,-4.9994990477893255,99.82482653696512,0.050020029308837075,0.05,2.002930883707177e-05,0.04004257717124763
12,10000,-5.499448842021512,99.79351201600993,0.05502479072290258,0.055,2.4790722902581774e-05,0.0450537341021877
13,10000,-5.999398616093776,99.75968117053061,0.0600300547364139,0.06,3.005473641390366e-05,0.05006614860817813
14,10000,-6.499348369990917,99.72333143925623,0.06503582161444636,0.065,3.582161444636023e-05,0.05507982148472342
15,10000,-6.999298103697736,99.68446006636307,0.0700420916223266,0.07,4.209162232658714e-05,0.0600947535284198
16,10000,-7.499247817199018,99.64306410042258,0.07504886502563274,0.075,4.886502563274109e-05,0.06511094553668649
17,10000,-7.999197510479512,99.59914039327191,0.08005614209019472,0.08,5.614209019472183e-05,0.07012839830761482
18,10000,-8.49914718352398,99.55268559880611,0.08506392308209497,0.085,6.392308209496322e-05,0.07514711264053883
19,10000,-8.999096836317165,99.50369617169096,0.09007220826766811,0.09,7.220826766811406e-05,0.08016708933518353
20,10000,-9.499046468843721,99.45216836599396,0.09508099791350134,0.095,8.099791350134333e-05,0.08518832919173829
21,10000,-9.99899608108837,99.39809823373464,0.10009029228643566,0.1,9.029228643565868e-05,0.09021083301191955
22,10000,-10.498945673035815,99.34148162335055,0.10510009165356594,0.105,0.00010009165356594796,0.0952346015985153
23,10000,-10.99889524467069,99.28231417807936,0.11011039628224005,0.11,0.00011039628224004949,0.10025963575417225
24,10000,-11.498844795977643,99.22059133425392,0.11512120644006058,0.115,0.00012120644006057002,0.10528593628288442
25,10000,-11.998794326941278,99.15630831950955,0.1201325223948848,0.12,0.00013252239488480144,0.11031350398952765
26,10000,-12.498743837546227,99.08946015090301,0.12514434441482478,0.125,0.00014434441482477633,0.11534233967961646
27,10000,-12.998693327777081,99.02004163293836,0.13015667276824808,0.13,0.00015667276824807286,0.12037244415969231
28,10000,-13.498642797618395,98.94804735550098,0.13516950772377792,0.135,0.0001695077237779119,0.12540381823710192
29,10000,-13.998592247054725,98.87347169169658,0.1401828495502933,0.14,0.00018284955029329586,0.13043646271985293
30,10000,-14.498541676070605,98.7963087955923,0.1451966985169296,0.145,0.00019669851692960538,0.1354703784168142
31,10000,-14.998491084650592,98.7165525998588,0.15021105489307943,0.15,0.00021105489307943204,0.1405055661380325
32,10000,-15.498440472779146,98.634196813311,0.15522591894839163,0.155,0.00022591894839163462,0.14554202669384517
33,10000,-15.998389840440764,98.5492349183446,0.160241290952773,0.16,0.0002412909527730045,0.15057976089578484
34,10000,-16.49833918761991,98.46166016826602,0.16525717117638816,0.165,0.00025717117638815457,0.15561876955624604
35,10000,-16.99828851430106,98.37146558451383,0.1702735598896596,0.17,0.0002735598896595748,0.16065905348830825
36,10000,-17.498237820468606,98.27864395376696,0.17529045736326834,0.175,0.0002904573632683538,0.1657006135059685
37,10000,-17.99818710610699,98.18318782493972,0.18030786386815428,0.18,0.00030786386815429,0.170743450423997
38,10000,-18.498136371200566,98.08508950605777,0.1853257796755162,0.185,0.0003257796755161968,0.1757875650579207
