a,K,t,y
2,0.15,0.0,0.0
2,0.15,0.08003638017280582,0.0004680788527911453
2,0.15,0.16007276034561163,0.001826336593533251
2,0.15,0.24010914051841745,0.004012870470961229
2,0.15,0.32014552069122326,0.006974072169261363
2,0.15,0.40018190086402905,0.010663391604202519
2,0.15,0.4802182810368349,0.015040280861661528
2,0.15,0.5602546612096407,0.020069292106784424
2,0.15,0.6402910413824465,0.025719307096030295
2,0.15,0.7203274215552523,0.031962879175401686
2,0.15,0.8003638017280581,0.038775671426650546
2,0.15,0.880400181900864,0.04613597699785338
2,0.15,0.9604365620736698,0.054024309684181926
2,0.15,1.0404729422464756,0.06242305455912821
2,0.15,1.1205093224192815,0.07131616993875832
2,0.15,1.2005457025920871,0.08068893322841274
2,0.15,1.280582082764893,0.09052772428396501
2,0.15,1.360618462937699,0.10081984084506175
2,0.15,1.4406548431105046,0.1115533413885725
2,0.15,1.5206912232833105,0.12271691142633041
2,0.15,1.6007276034561162,0.13429974984885196
2,0.15,1.680763983628922,0.14629147241036775
2,0.15,1.760800363801728,0.1586820298723834
2,0.15,1.8408367439745337,0.17146163868354472
2,0.15,1.9208731241473396,0.18462072238172977
2,0.15,2.0009095043201452,0.19814986216763708
2,0.15,2.080945884492951,0.2120397553242099
2,0.15,2.160982264665757,0.22628118034858385
2,0.15,2.241018644838563,0.2408649678276351
2,0.15,2.321055025011369,0.2557819762286938
2,0.15,2.4010914051841743,0.27102307189705704
2,0.15,2.48112778535698,0.28657911265454633
2,0.15,2.561164165529786,0.30244093448104914
2,0.15,2.641200545702592,0.3185993408359328
2,0.15,2.721236925875398,0.3350450942402659
2,0.15,2.8012733060482033,0.3517689097955264
2,0.15,2.8813096862210092,0.36876145036125324
2,0.15,2.961346066393815,0.3860133231540808
2,0.15,3.041382446566621,0.4035150775647639
2,0.15,3.121418826739427,0.42125720401900163
2,0.15,3.2014552069122324,0.43923013373282616
2,0.15,3.2814915870850383,0.4574242392346489
2,0.15,3.361527967257844,0.47582983554428754
2,0.15,3.44156434743065,0.49443718191487396
2,0.15,3.521600727603456,0.5132364840568604
2,0.15,3.601637107776262,0.5322178967747181
2,0.15,3.6816734879490673,0.5513715269566533
2,0.15,3.7617098681218732,0.5706874368659756
2,0.15,3.841746248294679,0.5901556476898606
2,0.15,3.921782628467485,0.6097661433073268
2,0.15,4.0018190086402905,0.6295088742434352
2,0.15,4.081855388813096,0.6493737617811612
2,0.15,4.161891768985902,0.6693507022061895
2,0.15,4.241928149158708,0.6894295711631189
2,0.15,4.321964529331514,0.7096002281043527
2,0.15,4.40200090950432,0.7298525208153167
2,0.15,4.482037289677126,0.7501762900016812
2,0.15,4.562073669849932,0.7705613739260075
2,0.15,4.642110050022738,0.7909976130827243
2,0.15,4.722146430195543,0.8114748549016146
2,0.15,4.802182810368349,0.8319829584710937
2,0.15,4.8822191905411545,0.8525117992734885
2,0.15,4.96225557071396,0.8730512739253392
2,0.15,5.042291950886766,0.8935913049164356
