omega,uncompensated_dB,compensated_2nd_dB
-9.42477796076938,-1.4116214857141456,-669.2268052298143
-9.423835435847057,-1.411607465172779,-144.0235173930243
-9.422892910924734,-1.411565403572355,-131.98227164686926
-9.42195038600241,-1.4114953009838647,-124.9385447516942
-9.421007861080087,-1.4113971575256379,-119.94088814183341
-9.420065336157764,-1.4112709733633069,-116.06434986303688
-9.419122811235441,-1.4111167487098015,-112.89693165018109
-9.418180286313119,-1.410934483825337,-110.21886108175562
-9.417237761390794,-1.4107241790173666,-107.89895360741959
-9.416295236468471,-1.410485834640579,-105.85259250264535
-9.415352711546149,-1.4102194510968424,-104.02200206209517
-9.414410186623826,-1.409925028835175,-102.36597322681587
-9.413467661701503,-1.4096025683516935,-100.85407875196904
-9.41252513677918,-1.4092520701895808,-99.46321185252964
-9.411582611856856,-1.4088735349390191,-98.17541125937288
-9.410640086934533,-1.4084669632371378,-96.9764384573867
-9.40969756201221,-1.4080323557679515,-95.8548150385468
-9.408755037089888,-1.4075697132622913,-94.80115240762309
-9.407812512167565,-1.4070790364977368,-93.80767337013353
-9.40686998724524,-1.4065603262985424,-92.86786324201175
-9.405927462322918,-1.4060135835355632,-91.97621055463571
-9.404984937400595,-1.4054388091261383,-91.12801108900868
-9.404042412478272,-1.4048360040340413,-90.3192175396889
-9.40309988755595,-1.4042051692693684,-89.54632262411934
-9.402157362633625,-1.403546305888449,-88.80626708767274
-9.401214837711303,-1.4028594149937226,-88.09636650071205
-9.40027231278898,-1.4021444977336548,-87.41425242148664
-9.399329787866657,-1.4014015553026213,-86.75782466911626
-9.398387262944334,-1.40063058894076,-86.12521228059623
-9.397444738022012,-1.3998315999339113,-85.5147413220405
-9.396502213099687,-1.3990045896134353,-84.92490815913102
-9.395559688177364,-1.3981495593561135,-84.35435711202379
-9.394617163255042,-1.3972665105839979,-83.80186165901898
-9.393674638332719,-1.3963554447642883,-83.26630853350045
-9.392732113410396,-1.3954163634091723,-82.74668419558488
-9.391789588488072,-1.3944492680756873,-82.24206326530451
-9.390847063565749,-1.3934541603655721,-81.75159858561186
-9.389904538643426,-1.392431041925096,-81.27451264717087
-9.388962013721104,-1.391379914444909,-80.81009015693357
-9.388019488798781,-1.3903007796598694,-80.3576715722094
-9.387076963876456,-1.3891936393488844,-79.91664745345983
-9.386134438954134,-1.3880584953347206,-79.48645351452613
-9.385191914031811,-1.3868953494838323,-79.06656626939076
-9.384249389109488,-1.3857042037061835,-78.65649919123503
