case,K,f_percent,k,y,e
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,0,0.0,1.0
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,1,0.06,0.94
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,2,0.1764,0.8236
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,3,0.150816,0.8491839999999999
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,4,0.19024704,0.80975296
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,5,0.2609674176,0.7390325824
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,6,0.268127660544,0.731872339456
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,7,0.29917099163135996,0.70082900836864
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,8,0.34629090501027837,0.6537090949897216
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,9,0.36489049759785375,0.6351095024021463
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,10,0.39151718256184287,0.6084828174381571
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,11,0.4258322953110636,0.5741677046889364
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,12,0.44717338027015385,0.5528266197298461
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,13,0.4706459495674454,0.5293540504325547
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,14,0.49745751538644845,0.5025424846135516
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,15,0.5181649253946163,0.48183507460538366
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,16,0.5389402660185393,0.4610597339814607
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,17,0.5609091092496146,0.43909089075038543
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,18,0.5798144439169487,0.4201855560830513
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,19,0.5981507966492227,0.40184920335077734
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,20,0.616676161226132,0.383323838773868
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,21,0.6335005088867095,0.3664994911132905
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,22,0.649624085702305,0.350375914297695
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,23,0.6654997242026903,0.3345002757973097
"f=-30%, K=0.06 (deep in stable window)",0.06,-30,24,0.6803046149521849,0.31969538504781514
