f_percent,K_ringing_onset
-30.0,0.1909408609248092
-29.0,0.1909408609248092
-28.0,0.1909408609248092
-27.0,0.17216903932435343
-26.0,0.17216903932435343
-25.0,0.17216903932435343
-24.0,0.15524271734347939
-23.0,0.15524271734347939
-22.0,0.15524271734347939
-21.0,0.1399804598013949
-20.0,0.1399804598013949
-19.0,0.12621866881430865
-18.0,0.12621866881430865
-17.0,0.11380983017100621
-16.0,0.11380983017100621
-15.0,0.10262093211115302
-14.0,0.10262093211115302
-13.0,0.09253203955702538
-12.0,0.08343500851569784
-11.0,0.08343500851569784
-10.0,0.0752323268712176
-9.0,0.06783606914108303
-8.0,0.061166953992942745
-7.0,0.05515349441892861
-6.0,0.04484204325419173
-5.0,0.03645841237070733
-4.0,0.02964217810187076
-3.0,0.02410030128818746
-2.0,0.01593115235725613
-1.0,0.007720411508415302
0.0,
1.0,
2.0,
3.0,
4.0,
5.0,
6.0,
7.0,
8.0,
9.0,
10.0,
11.0,
12.0,
13.0,
14.0,
15.0,
16.0,
17.0,
18.0,
19.0,
20.0,
21.0,
22.0,
23.0,
24.0,
25.0,
26.0,
27.0,
28.0,
29.0,
30.0,
