f_percent,K_at_onset,settling_samples_2pct
-30.0,0.1909408609248092,29
-29.0,0.1909408609248092,29
-28.0,0.1909408609248092,30
-27.0,0.1721690393243534,32
-26.0,0.1721690393243534,33
-25.0,0.1721690393243534,35
-24.0,0.1552427173434793,38
-23.0,0.1552427173434793,38
-22.0,0.1552427173434793,38
-21.0,0.1399804598013949,42
-20.0,0.1399804598013949,44
-19.0,0.1262186688143086,47
-18.0,0.1262186688143086,47
-17.0,0.1138098301710062,53
-16.0,0.1138098301710062,56
-15.0,0.102620932111153,59
-14.0,0.102620932111153,62
-13.0,0.0925320395570253,68
-12.0,0.0834350085156978,74
-11.0,0.0834350085156978,77
-10.0,0.0752323268712176,86
-9.0,0.067836069141083,95
-8.0,0.0611669539929427,104
-7.0,0.0551534944189286,113
-6.0,0.0448420432541917,125
-5.0,0.0364584123707073,134
-4.0,0.0296421781018707,140
-3.0,0.0241003012881874,143
-2.0,0.0159311523572561,146
-1.0,0.0077204115084153,148
