K,theta_rad,S_mag_dB
0.05,1e-05,-69.04595398254699
0.05,0.00016708648700383984,-44.58728393695198
0.05,0.0003241729740076797,-38.83100855650377
0.05,0.00048125946101151954,-35.39967078540423
0.05,0.0006383459480153594,-32.947123430659204
0.05,0.0007954324350191993,-31.03744602677041
0.05,0.000952518922023039,-29.473583106174704
0.05,0.0011096054090268788,-28.149504135041393
0.05,0.0012666918960307187,-27.001552045782738
0.05,0.0014237783830345586,-25.988496392124524
0.05,0.0015808648700383985,-25.082097217817314
0.05,0.0017379513570422382,-24.262162750738547
0.05,0.001895037844046078,-23.51375468268692
0.05,0.0020521243310499177,-22.825510207252762
0.05,0.0022092108180537576,-22.18858472176389
0.05,0.0023662973050575975,-21.595958576261474
0.05,0.0025233837920614374,-21.04196709488244
0.05,0.0026804702790652773,-20.521972777055115
0.05,0.002837556766069117,-20.032130994938612
0.05,0.002994643253072957,-19.569218905955598
0.05,0.003151729740076797,-19.130508157502454
0.05,0.0033088162270806364,-18.713668585392224
0.05,0.0034659027140844763,-18.31669426944236
0.05,0.003622989201088316,-17.937845993190034
0.05,0.003780075688092156,-17.57560592569047
0.05,0.003937162175095995,-17.22864153668207
0.05,0.004094248662099835,-16.895776575766508
0.05,0.004251335149103675,-16.575967518543887
0.05,0.004408421636107515,-16.268284288639805
0.05,0.004565508123111355,-15.971894356723661
0.05,0.004722594610115195,-15.686049530643345
0.05,0.0048796810971190345,-15.410074908013705
0.05,0.005036767584122874,-15.143359579929323
0.05,0.005193854071126714,-14.885348762954571
0.05,0.005350940558130554,-14.635537103921584
0.05,0.005508027045134394,-14.393462953837968
0.05,0.005665113532138234,-14.158703447322365
0.05,0.005822200019142074,-13.930870255321924
0.05,0.005979286506145914,-13.709605903521053
0.05,0.006136372993149754,-13.494580568391058
0.05,0.0062934594801535935,-13.285489278415044
0.05,0.0064505459671574325,-13.082049460534703
0.05,0.006607632454161272,-12.88399878196497
0.05,0.006764718941165112,-12.69109324572646
0.05,0.006921805428168952,-12.503105504938786
0.05,0.007078891915172792,-12.319823366412358
0.05,0.007235978402176632,-12.141048458603
0.05,0.007393064889180472,-11.966595042743416
0.05,0.007550151376184312,-11.796288949085351
0.05,0.007707237863188152,-11.629966622789663
0.05,0.00786432435019199,-11.467474266187383
0.05,0.008021410837195831,-11.30866706597173
0.05,0.00817849732419967,-11.153408495435968
0.05,0.008335583811203511,-11.001569683187348
0.05,0.00849267029820735,-10.853028840888344
0.05,0.008649756785211191,-10.707670743531658
0.05,0.00880684327221503,-10.565386256574168
0.05,0.00896392975921887,-10.426071904956647
0.05,0.00912101624622271,-10.28962947964172
0.05,0.00927810273322655,-10.155965677823737
0.05,0.00943518922023039,-10.024991773417062
0.05,0.00959227570723423,-9.896623314821225
0.05,0.00974936219423807,-9.770779847302583
0.05,0.00990644868124191,-9.64738465762964
0.05,0.010063535168245749,-9.526364538860179
0.05,0.010220621655249588,-9.407649573405305
0.05,0.010377708142253429,-9.291172932696188
0.05,0.010534794629257268,-9.176870691955225
0.05,0.010691881116261109,-9.064681658728583
0.05,0.010848967603264948,-8.954547213974408
0.05,0.011006054090268788,-8.84641116462165
0.05,0.011163140577272627,-8.740219606623057
0.05,0.011320227064276468,-8.635920797620589
0.05,0.011477313551280307,-8.533465038426991
0.05,0.011634400038284148,-8.432804562602804
0.05,0.011791486525287987,-8.333893433475941
0.05,0.011948573012291828,-8.236687448011489
0.05,0.012105659499295667,-8.141144046993183
0.05,0.012262745986299508,-8.047222231027165
0.05,0.012419832473303347,-7.954882481921443
0.05,0.012576918960307187,-7.8640866890350605
0.05,0.012734005447311026,-7.774798080224686
0.05,0.012891091934314865,-7.686981157049652
0.05,0.013048178421318706,-7.60060163392439
0.05,0.013205264908322545,-7.5156263809336945
0.05,0.013362351395326386,-7.432023370049547
0.05,0.013519437882330225,-7.349761624509972
0.05,0.013676524369334066,-7.2688111711392835
0.05,0.013833610856337905,-7.189142995407386
0.05,0.013990697343341746,-7.110728999041019
0.05,0.014147783830345585,-7.033541960015318
0.05,0.014304870317349425,-6.957555494766589
0.05,0.014461956804353264,-6.882744022480071
0.05,0.014619043291357105,-6.809082731316667
0.05,0.014776129778360944,-6.736547546454074
0.05,0.014933216265364785,-6.66511509982554
0.05,0.015090302752368624,-6.594762701449176
0.05,0.015247389239372463,-6.525468312248189
0.05,0.015404475726376304,-6.457210518268903
0.05,0.015561562213380143,-6.389968506211794
0.05,0.01571864870038398,-6.323722040194262
0.05,0.015875735187387822,-6.258451439672168
0.05,0.016032821674391663,-6.19413755844996
0.05,0.016189908161395504,-6.130761764715761
0.05,0.01634699464839934,-6.068305922040961
0.05,0.016504081135403182,-6.006752371288365
0.05,0.016661167622407023,-5.946083913376814
0.05,0.016818254109410864,-5.886283792853524
0.05,0.0169753405964147,-5.827335682228013
0.05,0.01713242708341854,-5.769223667025831
0.05,0.017289513570422382,-5.7119322315213985
0.05,0.017446600057426223,-5.655446245113273
0.05,0.01760368654443006,-5.5997509493060305
0.05,0.0177607730314339,-5.544831945267127
0.05,0.017917859518437742,-5.490675181926652
0.05,0.01807494600544158,-5.437266944592317
0.05,0.01823203249244542,-5.384593844051819
0.05,0.01838911897944926,-5.3326428061373585
0.05,0.0185462054664531,-5.281401061728595
0.05,0.01870329195345694,-5.2308561371711875
0.05,0.01886037844046078,-5.1809958450901314
