omega,uncompensated_dB,compensated_2nd_dB,filter1_dB,filter2_dB,compensated_1st_dB
-9.42477796076938,-1.4116214857141456,-669.2268052298143,-319.48917033165196,-667.8151837441003,-320.9007918173661
-9.423835435847057,-1.411607465172779,-144.0235173930243,-71.30595528535466,-142.6119099278515,-72.71756275052743
-9.422892910924734,-1.411565403572355,-131.98227164686926,-65.2853544075595,-130.5707062432969,-66.69691981113185
-9.42195038600241,-1.4114953009838649,-124.9385447516942,-61.76352761891236,-123.52704945071032,-63.17502291989623
-9.421007861080088,-1.411397157525638,-119.9408881418334,-59.26475063621223,-118.52949098430777,-60.67614779373787
-9.420065336157764,-1.4112709733633069,-116.06434986303688,-57.326547482497084,-114.65307888967358,-58.73781845586039
-9.41912281123544,-1.4111167487098015,-112.89693165018107,-55.74291902498082,-111.4858149014713,-57.15403577369062
-9.41818028631312,-1.410934483825337,-110.21886108175562,-54.40397905280192,-108.80792659793028,-55.81491353662726
-9.417237761390794,-1.4107241790173666,-107.8989536074196,-53.24413529066186,-106.48822942840224,-54.654859469679224
-9.416295236468471,-1.410485834640579,-105.85259250264536,-52.22107937612278,-104.44210666800478,-53.63156521076336
-9.415352711546149,-1.4102194510968424,-104.02200206209515,-51.30592345630853,-102.61178261099832,-52.71614290740537
-9.414410186623826,-1.409925028835175,-102.36597322681588,-50.478063001534565,-100.95604819798069,-51.88798803036974
-9.413467661701503,-1.4096025683516935,-100.85407875196904,-49.722284389128994,-99.44447618361734,-51.13188695748069
-9.41252513677918,-1.4092520701895808,-99.46321185252964,-49.02703422631974,-98.05395978234006,-50.43628629650932
-9.411582611856856,-1.4088735349390191,-98.17541125937288,-48.38333187825884,-96.76653772443386,-49.79220541319786
-9.410640086934531,-1.4084669632371378,-96.9764384573867,-47.78405808707131,-95.5679714941418,-49.19252505030845
-9.40969756201221,-1.4080323557679515,-95.8548150385468,-47.22347364842485,-94.44678268277885,-48.6315060041928
-9.408755037089888,-1.4075697132622913,-94.80115240762308,-46.69688426433098,-93.39358269436079,-48.10445397759327
-9.407812512167563,-1.4070790364977368,-93.80767337013351,-46.20040133717926,-92.40059433363578,-47.60748037367699
-9.40686998724524,-1.4065603262985424,-92.86786324201177,-45.73076752453643,-91.46130291571322,-47.13732785083497
-9.405927462322918,-1.4060135835355632,-91.97621055463571,-45.28522709165979,-90.57019697110015,-46.69124067519535
-9.404984937400595,-1.4054388091261385,-91.12801108900868,-44.861427928607355,-89.72257227988254,-46.266866737733494
-9.404042412478272,-1.4048360040340413,-90.3192175396889,-44.45734638218901,-88.91438153565488,-45.86218238622305
-9.40309988755595,-1.4042051692693684,-89.54632262411934,-44.07122881063099,-88.14211745484998,-45.47543397990036
-9.402157362633623,-1.403546305888449,-88.80626708767274,-43.701545586102675,-87.40272078178428,-45.10509189199112
-9.401214837711304,-1.4028594149937226,-88.09636650071205,-43.34695449325367,-86.69350708571832,-44.74981390824739
-9.40027231278898,-1.4021444977336548,-87.41425242148664,-43.00627131064204,-86.01210792375298,-44.40841580837569
-9.399329787866655,-1.4014015553026211,-86.75782466911626,-42.67844594725049,-85.35642311381363,-44.07984750255311
-9.398387262944334,-1.40063058894076,-86.12521228059623,-42.362542920968224,-84.72458169165547,-43.76317350990898
-9.397444738022012,-1.3998315999339113,-85.5147413220405,-42.05772526422615,-84.11490972210659,-43.45755686416006
-9.396502213099687,-1.399004589613435,-84.92490815913102,-41.76324115921667,-83.5259035695176,-43.1622457488301
-9.395559688177364,-1.3981495593561135,-84.35435711202379,-41.4784127653439,-82.95620755266768,-42.87656232470001
-9.394617163255042,-1.397266510583998,-83.80186165901898,-41.202626821066616,-82.40459514843499,-42.59989333165061
-9.39367463833272,-1.3963554447642883,-83.26630853350045,-40.93532669236065,-81.86995308873776,-42.331682137124936
-9.392732113410396,-1.3954163634091723,-82.74668419558488,-40.67600560854558,-81.35126783217571,-42.071421971954756
-9.391789588488072,-1.3944492680756873,-82.24206326530451,-40.424200878879034,-80.84761399722882,-41.818650146954724
-9.390847063565747,-1.393454160365572,-81.75159858561186,-40.17948892405621,-80.35814442524627,-41.57294308442178
-9.389904538643426,-1.392431041925096,-81.27451264717087,-39.94148098860593,-79.88208160524576,-41.333912030531025
-9.388962013721104,-1.391379914444909,-80.81009015693357,-39.7098194251807,-79.41871024248867,-41.10119933962561
-9.38801948879878,-1.3903007796598694,-80.3576715722094,-39.48417446158736,-78.96737079254953,-40.874475241247225
-9.387076963876456,-1.3891936393488844,-79.91664745345983,-39.26424137719097,-78.52745381411094,-40.65343501653985
-9.386134438954134,-1.3880584953347206,-79.48645351452613,-39.049738028022645,-78.0983950191914,-40.43779652335736
