f_percent,pole_re,pole_im,dzdK_re,dzdK_im,d_abs2_dK,direction
-30.0,-0.3499999999999998,0.6062177826491071,-0.11187214611872175,1.0739166944515448,1.3803652968036535,outward
-20.0,-0.39999999999999986,0.692820323027551,-0.15163934426229536,0.9559406096418394,1.4459016393442627,outward
-10.0,-0.4499999999999998,0.7794228634059949,-0.18634686346863485,0.8598707883687231,1.5081180811808121,outward
-5.0,-0.47499999999999976,0.8227241335952168,-0.20201577563540787,0.8179816801063131,1.5378615249780898,outward
-2.5,-0.48749999999999977,0.8443747686898277,-0.20946378978850708,0.7983154072170281,1.552381969664602,outward
-1.0,-0.4949999999999998,0.8573651497465943,-0.21381434968519603,0.7868904549931501,1.5609811117470798,outward
0.0,-0.4999999999999998,0.8660254037844387,-0.2166666666666669,0.779422863405995,1.5666666666666673,outward
1.0,-0.5049999999999998,0.8746856578222831,-0.21948120524075138,0.7720707523302509,1.57231444506782,outward
5.0,-0.5249999999999998,0.9093266739736606,-0.23037272006344192,0.7437573508553416,1.5945281522601111,outward
10.0,-0.5499999999999998,0.9526279441628827,-0.24320241691842925,0.710627638388714,1.6214501510574022,outward
20.0,-0.5999999999999998,1.0392304845413265,-0.26648351648351665,0.6508408254326276,1.6725274725274728,outward
30.0,-0.6499999999999997,1.1258330249197703,-0.28696741854636615,0.5982203627838142,1.7200501253132836,outward
