f_percent,non-ringing,ringing,unstable
-30.0,0.8111111111111111,0.05555555555555555,0.13333333333333333
-29.0,0.8111111111111111,0.05555555555555555,0.13333333333333333
-28.0,0.8111111111111111,0.05555555555555555,0.13333333333333333
-27.0,0.8,0.06666666666666667,0.13333333333333333
-26.0,0.8,0.05555555555555555,0.14444444444444443
-25.0,0.8,0.05555555555555555,0.14444444444444443
-24.0,0.7888888888888889,0.06666666666666667,0.14444444444444443
-23.0,0.7888888888888889,0.05555555555555555,0.15555555555555556
-22.0,0.7888888888888889,0.05555555555555555,0.15555555555555556
-21.0,0.7777777777777778,0.06666666666666667,0.15555555555555556
-20.0,0.7777777777777778,0.05555555555555555,0.16666666666666666
-19.0,0.7666666666666667,0.06666666666666667,0.16666666666666666
-18.0,0.7666666666666667,0.05555555555555555,0.17777777777777778
-17.0,0.7555555555555555,0.06666666666666667,0.17777777777777778
-16.0,0.7555555555555555,0.05555555555555555,0.18888888888888888
-15.0,0.7444444444444445,0.06666666666666667,0.18888888888888888
-14.0,0.7444444444444445,0.05555555555555555,0.2
-13.0,0.7333333333333333,0.05555555555555555,0.2111111111111111
-12.0,0.7222222222222222,0.06666666666666667,0.2111111111111111
-11.0,0.7222222222222222,0.05555555555555555,0.2222222222222222
-10.0,0.7111111111111111,0.05555555555555555,0.23333333333333334
-9.0,0.7,0.05555555555555555,0.24444444444444444
-8.0,0.6888888888888889,0.05555555555555555,0.25555555555555554
-7.0,0.6777777777777778,0.05555555555555555,0.26666666666666666
-6.0,0.6555555555555556,0.05555555555555555,0.28888888888888886
-5.0,0.6333333333333333,0.06666666666666667,0.3
-4.0,0.6111111111111112,0.06666666666666667,0.32222222222222224
-3.0,0.5888888888888889,0.05555555555555555,0.35555555555555557
-2.0,0.5444444444444444,0.05555555555555555,0.4
-1.0,0.4666666666666667,0.05555555555555555,0.4777777777777778
0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0
3.0,0.0,0.0,1.0
4.0,0.0,0.0,1.0
5.0,0.0,0.0,1.0
6.0,0.0,0.0,1.0
7.0,0.0,0.0,1.0
8.0,0.0,0.0,1.0
9.0,0.0,0.0,1.0
10.0,0.0,0.0,1.0
11.0,0.0,0.0,1.0
12.0,0.0,0.0,1.0
13.0,0.0,0.0,1.0
14.0,0.0,0.0,1.0
15.0,0.0,0.0,1.0
16.0,0.0,0.0,1.0
17.0,0.0,0.0,1.0
18.0,0.0,0.0,1.0
19.0,0.0,0.0,1.0
20.0,0.0,0.0,1.0
21.0,0.0,0.0,1.0
22.0,0.0,0.0,1.0
23.0,0.0,0.0,1.0
24.0,0.0,0.0,1.0
25.0,0.0,0.0,1.0
26.0,0.0,0.0,1.0
27.0,0.0,0.0,1.0
28.0,0.0,0.0,1.0
29.0,0.0,0.0,1.0
30.0,0.0,0.0,1.0
