f_percent,K,pole_re,pole_im,zeta,stable,classification
-30.0,0.0001,0.999922380115132,0.0,1.0,True,non-ringing
-30.0,0.00011090313431155938,0.999913917802375,0.0,1.0,True,non-ringing
-30.0,0.0001229950520012778,0.9999045329903993,0.0,1.0,True,non-ringing
-30.0,0.0001364053677175493,0.9998941251342248,0.0,1.0,True,non-ringing
-30.0,0.00015127782816797016,0.999882582734692,0.0,1.0,True,non-ringing
-30.0,0.00016777185295673396,0.9998697821460136,0.0,1.0,True,non-ringing
-30.0,0.00018606424342159842,0.9998555862537855,0.0,1.0,True,non-ringing
-30.0,0.0002063510777876421,0.9998398430093918,0.0,1.0,True,non-ringing
-30.0,0.0002288498129521791,0.9998223838052887,0.0,1.0,True,non-ringing
-30.0,0.0002538016154301076,0.9998030216739555,0.0,1.0,True,non-ringing
-30.0,0.00028147394644535966,0.9997815492915028,0.0,1.0,True,non-ringing
-30.0,0.00031216342887834366,0.9997577367648369,0.0,1.0,True,non-ringing
-30.0,0.0003461990268005186,0.9997313291791099,0.0,1.0,True,non-ringing
-30.0,0.00038394557167789064,0.9997020438796214,0.0,1.0,True,non-ringing
-30.0,0.00042580767304121515,0.9996695674597049,0.0,1.0,True,non-ringing
-30.0,0.0004722340555418245,0.99963355242303,0.0,1.0,True,non-ringing
-30.0,0.0005237223688824735,0.9995936134854995,0.0,1.0,True,non-ringing
-30.0,0.0005808245221814102,0.9995493234782564,0.0,1.0,True,non-ringing
-30.0,0.0006441525999493224,0.999500208809285,0.0,1.0,True,non-ringing
-30.0,0.0007143854230931981,0.9994457444367049,0.0,1.0,True,non-ringing
-30.0,0.0007922758252752512,0.9993853483020239,0.0,1.0,True,non-ringing
-30.0,0.0008786587226230274,0.9993183751663097,0.0,1.0,True,non-ringing
-30.0,0.0009744600632908472,0.9992441097864528,0.0,1.0,True,non-ringing
-30.0,0.0010807067528039549,0.9991617593623523,0.0,1.0,True,non-ringing
-30.0,0.001198537661576262,0.9990704451789791,0.0,1.0,True,non-ringing
-30.0,0.001329215832592545,0.9989691933597726,0.0,1.0,True,non-ringing
-30.0,0.0014741420201106225,0.9988569246396506,0.0,1.0,True,non-ringing
-30.0,0.001634869704506417,0.9987324430571662,0.0,1.0,True,non-ringing
-30.0,0.0018131217442077456,0.9985944234558026,0.0,1.0,True,non-ringing
-30.0,0.0020108088432108043,0.9984413976742981,0.0,1.0,True,non-ringing
-30.0,0.0022300500321347895,0.998271739294941,0.0,1.0,True,non-ringing
-30.0,0.002473195382353419,0.9980836468072807,0.0,1.0,True,non-ringing
-30.0,0.002742851196678697,0.9978751250325426,0.0,1.0,True,non-ringing
-30.0,0.0030419079466187894,0.997643964641278,0.0,1.0,True,non-ringing
-30.0,0.003373571255672634,0.9973877195837124,0.0,1.0,True,non-ringing
-30.0,0.0037413962607747778,0.9971036822387656,0.0,1.0,True,non-ringing
-30.0,0.004149325720214712,0.9967888560744242,0.0,1.0,True,non-ringing
-30.0,0.004601732276513801,0.9964399255990166,0.0,1.0,True,non-ringing
-30.0,0.005103465327280476,0.9960532233706374,0.0,1.0,True,non-ringing
-30.0,0.005659903006457729,0.9956246938210831,0.0,1.0,True,non-ringing
-30.0,0.006277009833155804,0.9951498536418493,0.0,1.0,True,non-ringing
-30.0,0.00696140064601457,0.9946237484741371,0.0,1.0,True,non-ringing
-30.0,0.007720411508415302,0.9940409056435264,0.0,1.0,True,non-ringing
-30.0,0.008562178344582902,0.993395282684969,0.0,1.0,True,non-ringing
-30.0,0.009495724149488028,0.9926802114166313,0.0,1.0,True,non-ringing
-30.0,0.010531055707361887,0.991888337345068,0.0,1.0,True,non-ringing
-30.0,0.011679270855560683,0.9910115542219766,0.0,1.0,True,non-ringing
-30.0,0.012952677443553275,0.990040933629059,0.0,1.0,True,non-ringing
-30.0,0.014364925262166945,0.9889666495469673,0.0,1.0,True,non-ringing
-30.0,0.01593115235725613,0.9877778979736462,0.0,1.0,True,non-ringing
-30.0,0.017668147296146925,0.9864628118044869,0.0,1.0,True,non-ringing
-30.0,0.019594529126209955,0.9850083713810693,0.0,1.0,True,non-ringing
-30.0,0.02173094695455825,0.9834003113689886,0.0,1.0,True,non-ringing
-30.0,0.02410030128818746,0.981623024952553,0.0,1.0,True,non-ringing
-30.0,0.02672798950712899,0.9796594667523053,0.0,1.0,True,non-ringing
-30.0,0.02964217810187076,0.9774910564008443,0.0,1.0,True,non-ringing
-30.0,0.032874104593189374,0.9750975853773443,0.0,1.0,True,non-ringing
-30.0,0.03645841237070733,0.9724571305290555,0.0,1.0,True,non-ringing
-30.0,0.040433522039347726,0.9695459787299687,0.0,1.0,True,non-ringing
-30.0,0.04484204325419173,0.9663385683757699,0.0,1.0,True,non-ringing
-30.0,0.04973123145824381,0.962807454924486,0.0,1.0,True,non-ringing
-30.0,0.05515349441892861,0.9589233094941435,0.0,1.0,True,non-ringing
-30.0,0.061166953992942745,0.9546549616447018,0.0,1.0,True,non-ringing
