Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K12,-0,0.484232,-100,2.68983649079124+0i,-1.04491814539562+0.930571013182822i,-1.04491814539562-0.930571013182822i,2.68983649079124,NO
2,K12,-0.00486665326633173,0.479365346733668,-98.9949748743718,2.67954870264753+0i,-1.03977425132377+0.929697824243374i,-1.03977425132377-0.929697824243374i,2.67954870264753,NO
3,K12,-0.00973330653266336,0.474498693467337,-97.9899497487437,2.66920474073193+0i,-1.03460227036596+0.928797274398551i,-1.03460227036596-0.928797274398551i,2.66920474073193,NO
4,K12,-0.014599959798995,0.469632040201005,-96.9849246231156,2.65880370273428+0i,-1.02940175136714+0.927868899693975i,-1.02940175136714-0.927868899693975i,2.65880370273428,NO
5,K12,-0.0194666130653267,0.464765386934673,-95.9798994974874,2.64834466224001+0i,-1.02417223112+0.926912222286205i,-1.02417223112-0.926912222286205i,2.64834466224001,NO
6,K12,-0.0243332663316583,0.459898733668342,-94.9748743718593,2.63782666782523+0i,-1.01891323391261+0.925926749888882i,-1.01891323391261-0.925926749888882i,2.63782666782523,NO
7,K12,-0.02919991959799,0.45503208040201,-93.9698492462311,2.62724874210805+0i,-1.01362427105403+0.9249119751903i,-1.01362427105403-0.9249119751903i,2.62724874210805,NO
8,K12,-0.0340665728643216,0.450165427135678,-92.964824120603,2.61660988075323+0i,-1.00830484037661+0.923867375241173i,-1.00830484037661-0.923867375241173i,2.61660988075323,NO
9,K12,-0.0389332261306533,0.445298773869347,-91.9597989949749,2.60590905142744+0i,-1.00295442571372+0.922792410810131i,-1.00295442571372-0.922792410810131i,2.60590905142744,NO
10,K12,-0.043799879396985,0.440432120603015,-90.9547738693467,2.59514519270214+0i,-0.997572496351069+0.921686525705357i,-0.997572496351069-0.921686525705357i,2.59514519270214,NO
11,K12,-0.0486665326633166,0.435565467336683,-89.9497487437186,2.58431721290082+0i,-0.992158506450406+0.920549146059976i,-0.992158506450406-0.920549146059976i,2.58431721290082,NO
12,K12,-0.0535331859296483,0.430698814070352,-88.9447236180904,2.57342398888706+0i,-0.986711894443529+0.919379679578599i,-0.986711894443529-0.919379679578599i,2.57342398888706,NO
13,K12,-0.0583998391959799,0.42583216080402,-87.9396984924623,2.56246436478978+0i,-0.981232082394892+0.91817751474304i,-0.981232082394892-0.91817751474304i,2.56246436478978,NO
