Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
1,K22,-5.250418485,-0.026121485,-0.5,0.4528789888+0.1740218784i,0.4528789888-0.1740218784i,-0.2770241441,0.485162851708729,YES
2,K22,-5.27653997,-0.05224297,-1,0.4936234705+0.2466595273i,0.4936234705-0.2466595273i,-0.329779474,0.551819765000218,YES
3,K22,-5.302661455,-0.078364455,-1.5,0.5285938406+0.2935768773i,0.5285938406-0.2935768773i,-0.3709865808,0.604647691863581,YES
4,K22,-5.32878294,-0.10448594,-2,0.5600461682+0.328669614i,0.5600461682-0.328669614i,-0.4051576024,0.649365402298647,YES
5,K22,-5.354904425,-0.130607425,-2.5,0.5890842412+0.3566801227i,0.5890842412-0.3566801227i,-0.4345001149,0.688651546955626,YES
6,K22,-5.38102591,-0.15672891,-3,0.6163430148+0.3798666925i,0.6163430148-0.3798666925i,-0.4602840286,0.724000977877431,YES
7,K22,-5.407147395,-0.182850395,-3.5,0.6422261452+0.3994991869i,0.6422261452-0.3994991869i,-0.4833166559,0.756342529484244,YES
8,K22,-5.43326888,-0.20897188,-4,0.6670084329+0.4163689434i,0.6670084329-0.4163689434i,-0.5041475978,0.78629723806368,YES
9,K22,-5.459390365,-0.235093365,-4.5,0.6908865574+0.4310050583i,0.6908865574-0.4310050583i,-0.5231702133,0.814303134894505,YES
10,K22,-5.48551185,-0.26121485,-5,0.7140067757+0.4437799036i,0.7140067757-0.4437799036i,-0.5406770164,0.840682031805378,YES
11,K22,-5.511633335,-0.287336335,-5.5,0.7364811877+0.4549659462i,0.7364811877-0.4549659462i,-0.5568922068,0.865678087969951,YES
12,K22,-5.53775482,-0.31345782,-6,0.7583978455+0.4647686916i,0.7583978455-0.4647686916i,-0.5719918889,0.889481438078163,YES
13,K22,-5.563876305,-0.339579305,-6.5,0.7798273298+0.4733469168i,0.7798273298-0.4733469168i,-0.5861172241,0.912243370978128,YES
14,K22,-5.58999779,-0.36570079,-7,0.8008271905+0.4808256845i,0.8008271905-0.4808256845i,-0.5993833121,0.93408646710259,YES
15,K22,-5.616119275,-0.391822275,-7.5,0.8214450412+0.4873050368i,0.8214450412-0.4873050368i,-0.61188538,0.955111592798224,YES
16,K22,-5.64224076,-0.41794376,-8,0.8417207733+0.4928659873i,0.8417207733-0.4928659873i,-0.6237032105,0.975402861179391,YES
17,K22,-5.668362245,-0.444065245,-8.5,0.8616881769+0.4975747632i,0.8616881769-0.4975747632i,-0.6349043843,0.995031235265491,YES
18,K22,-5.69448373,-0.47018673,-9,0.8813761522+0.5014858745i,0.8813761522-0.5014858745i,-0.6455467015,1.01405719959421,NO
19,K22,-5.224297,0,0,0.5000392469,0.2999432651,-0.1999823119,0.500039246869543,YES
20,K22,-5.198175515,0.026121485,0.5,0.5935977352,-0.01116558437+0.09309672939i,-0.01116558437-0.09309672939i,0.593597735245259,YES
21,K22,-5.17205403,0.05224297,1,0.6396703015,-0.04856868426+0.24667347i,-0.04856868426-0.24667347i,0.639670301526562,YES
22,K22,-5.145932545,0.078364455,1.5,0.6716482951,-0.0789244978+0.3261834583i,-0.0789244978-0.3261834583i,0.671648295094581,YES
